id_stop_departure,id_stop_arrival,price,departure_datetime,arrival_datetime
7,9,448,0:30:00,5:15:00
7,9,448,17:00:00,21:45:00
7,9,448,11:00:00,15:45:00
7,9,448,14:00:00,18:45:00
7,9,448,18:00:00,22:45:00
7,9,448,17:15:00,22:00:00
7,9,448,11:15:00,16:00:00
7,9,448,15:50:00,20:40:00
7,9,448,0:30:00,5:35:00
7,9,448,0:30:00,5:25:00
7,725,495,0:30:00,6:30:00
7,9,448,11:10:00,15:55:00
7,725,495,17:00:00,22:50:00
7,369,1125,16:30:00,7:05:00
7,106,1750,16:30:00,10:20:00
7,1836,782,16:30:00,1:05:00
7,1471,1210,19:00:00,11:15:00
7,369,1125,16:30:00,6:55:00
7,372,1588,16:30:00,11:25:00
7,9,448,14:00:00,18:45:00
7,9,448,0:20:00,5:05:00
7,747,1160,21:30:00,9:30:00
7,725,495,0:20:00,6:15:00
7,2203,620,21:30:00,5:00:00
7,713,1170,21:30:00,9:30:00
7,556,820,23:00:00,7:00:00
7,556,820,22:00:00,6:59:00
7,617,641,22:00:00,3:45:00
7,626,656,21:15:00,4:45:00
7,557,809,22:00:00,6:00:00
7,556,820,21:15:00,7:10:00
7,1432,620,22:00:00,5:00:00
7,557,809,21:15:00,6:40:00
7,556,1005,22:00:00,6:59:00
7,557,990,22:00:00,6:00:00
7,556,1005,23:00:00,7:00:00
7,545,843,22:00:00,7:20:00
7,545,843,21:30:00,6:30:00
7,1350,470,0:20:00,5:35:00
7,747,1290,21:30:00,9:30:00
7,1675,530,22:00:00,3:45:00
7,617,785,22:00:00,3:45:00
7,232,422,17:00:00,21:35:00
7,913,203,17:00:00,19:30:00
7,255,355,7:45:00,12:35:00
7,232,422,16:00:00,20:35:00
7,208,379,8:00:00,13:45:00
7,913,203,7:45:00,10:30:00
7,276,442,17:00:00,22:15:00
7,249,338,8:00:00,12:15:00
7,913,203,17:00:00,19:45:00
7,179,395,17:00:00,21:15:00
7,255,355,8:00:00,12:35:00
7,276,442,17:00:00,22:25:00
7,208,379,8:00:00,13:30:00
9,137,524,15:00:00,20:50:00
9,137,524,15:01:00,21:05:00
9,280,524,0:30:00,5:35:00
9,7,448,2:00:00,6:45:00
9,7,448,11:00:00,15:45:00
9,7,448,8:00:00,12:45:00
9,1447,534,13:00:00,19:25:00
9,234,524,15:05:00,19:46:00
9,7,448,17:30:00,22:30:00
9,7,448,13:00:00,17:45:00
9,7,448,17:00:00,21:45:00
9,7,448,17:15:00,22:00:00
9,40,544,15:01:00,21:56:00
9,527,524,15:00:00,20:15:00
9,2773,473,11:00:00,16:30:00
9,201,524,9:15:00,15:25:00
9,201,524,15:00:00,20:55:00
9,7,448,0:30:00,5:15:00
9,234,524,9:15:00,14:05:00
9,7,448,17:30:00,22:15:00
9,527,524,0:30:00,6:00:00
9,280,524,15:00:00,19:55:00
9,280,524,9:15:00,14:20:00
9,137,524,0:30:00,6:35:00
9,234,524,0:30:00,5:25:00
9,38,544,13:00:00,20:30:00
9,201,524,0:30:00,6:40:00
9,196,524,15:00:00,20:40:00
9,3642,524,13:00:00,18:05:00
9,234,524,15:00:00,19:45:00
9,1063,534,13:00:00,18:45:00
9,56,524,15:00:00,19:35:00
9,205,609,13:00:00,20:50:00
9,196,524,9:15:00,15:10:00
9,56,524,13:00:00,17:35:00
9,201,524,15:05:00,20:55:00
9,234,524,15:00:00,19:40:00
9,234,524,9:15:00,14:00:00
9,56,524,9:15:00,13:50:00
9,1447,534,16:00:00,22:25:00
9,7,448,0:30:00,5:30:00
9,196,524,9:15:00,14:55:00
9,527,602,15:00:00,20:15:00
9,201,524,9:15:00,15:10:00
9,201,602,15:00:00,20:55:00
9,280,524,9:15:00,14:10:00
9,280,602,15:00:00,19:50:00
9,137,602,0:30:00,6:35:00
9,1447,612,13:00:00,19:25:00
9,234,602,9:15:00,14:00:00
9,234,602,15:00:00,19:40:00
9,196,602,9:15:00,14:55:00
9,196,602,15:00:00,20:40:00
9,201,602,0:30:00,6:40:00
9,234,602,0:30:00,5:25:00
9,56,602,15:00:00,19:30:00
9,280,602,9:15:00,14:10:00
9,196,602,9:00:00,14:40:00
9,527,602,9:00:00,14:15:00
9,527,602,0:30:00,6:00:00
9,1063,612,11:00:00,16:45:00
9,1063,612,13:00:00,18:45:00
9,56,602,13:00:00,17:35:00
9,56,602,0:30:00,5:15:00
9,196,602,0:30:00,6:25:00
9,280,602,15:10:00,20:10:00
9,1034,612,11:00:00,17:55:00
9,3642,600,11:00:00,16:05:00
9,2773,473,0:30:00,5:59:00
9,527,602,15:10:00,20:30:00
9,1075,471,13:00:00,20:20:00
9,1034,534,23:00:00,6:02:00
9,40,544,23:00:00,6:42:00
9,202,524,23:00:00,4:05:00
9,379,524,23:00:00,4:50:00
9,115,534,23:00:00,5:40:00
9,49,524,13:00:00,19:25:00
9,1034,534,13:00:00,20:02:00
9,1361,524,13:00:00,18:30:00
9,1361,524,23:00:00,4:30:00
9,1447,534,23:00:00,5:50:00
9,2888,544,23:00:00,6:36:00
9,308,534,23:00:00,6:16:00
9,49,524,23:00:00,5:25:00
9,4763,524,23:00:00,6:41:00
9,1063,534,23:00:00,5:10:00
9,3287,524,13:00:00,20:00:00
9,202,524,13:00:00,18:05:00
9,73,578,13:00:00,21:05:00
9,935,524,23:00:00,4:45:00
9,163,524,13:00:00,19:30:00
9,806,534,23:00:00,6:07:00
9,3039,544,23:00:00,6:37:00
9,73,578,23:00:00,7:05:00
9,4763,524,13:00:00,20:41:00
9,51,534,23:00:00,5:52:00
9,56,524,13:00:00,17:50:00
9,38,544,23:00:00,6:26:00
9,51,534,13:00:00,19:52:00
9,49,602,23:00:00,5:25:00
9,73,663,23:00:00,7:05:00
9,1034,612,23:00:00,6:02:00
9,1447,612,23:00:00,5:50:00
9,308,612,23:00:00,6:16:00
9,1060,602,23:00:00,5:00:00
9,1060,602,13:00:00,19:00:00
9,3062,524,13:00:00,19:51:00
9,187,622,23:00:00,6:45:00
9,806,612,23:00:00,6:07:00
9,3287,602,13:00:00,20:00:00
9,40,622,23:00:00,6:42:00
9,202,602,23:00:00,4:05:00
9,3230,602,23:00:00,4:00:00
9,58,612,13:00:00,19:15:00
9,49,602,13:00:00,19:25:00
9,4763,602,23:00:00,6:41:00
9,935,602,23:00:00,4:45:00
9,58,612,23:00:00,5:15:00
9,1447,612,13:00:00,19:50:00
9,202,602,13:00:00,18:05:00
9,713,834,20:45:00,6:15:00
9,437,1391,20:45:00,13:00:00
9,584,1570,20:45:00,15:15:00
9,438,1537,20:45:00,14:45:00
9,436,1039,20:45:00,9:05:00
9,583,2036,20:45:00,19:35:00
9,584,1900,20:45:00,15:15:00
9,713,1047,20:45:00,6:15:00
9,437,1692,20:45:00,13:00:00
9,438,1861,20:45:00,14:45:00
9,583,2439,20:45:00,19:35:00
9,436,1285,20:45:00,9:05:00
9,2062,524,10:00:00,16:30:00
9,3287,524,23:45:00,5:50:00
9,2060,524,23:45:00,6:20:00
9,2060,524,10:00:00,16:40:00
9,4763,524,23:45:00,6:50:00
9,3229,524,23:45:00,5:25:00
9,3229,524,10:00:00,15:30:00
9,3060,524,23:45:00,5:15:00
9,2058,524,23:45:00,6:30:00
9,3287,524,10:00:00,16:05:00
9,1073,524,10:00:00,16:20:00
9,4763,524,10:00:00,17:10:00
9,107,578,23:45:00,7:10:00
9,3060,524,10:00:00,15:20:00
9,3062,524,23:45:00,5:35:00
9,2062,524,23:45:00,6:10:00
9,1075,524,10:00:00,16:15:00
9,1073,524,23:45:00,6:05:00
9,3060,524,14:00:00,19:20:00
9,1075,524,23:45:00,6:00:00
9,4763,524,14:00:00,21:10:00
9,2062,524,23:45:00,6:00:00
9,4763,602,23:45:00,6:50:00
9,3060,602,10:00:00,15:20:00
9,3060,602,23:45:00,5:15:00
9,1073,602,10:00:00,16:20:00
9,2060,602,10:00:00,16:40:00
9,1076,664,23:45:00,7:00:00
9,107,664,23:45:00,7:10:00
9,49,524,0:30:00,6:30:00
9,10,524,0:30:00,5:50:00
9,1361,524,9:40:00,15:15:00
9,49,524,9:00:00,15:00:00
9,1699,524,9:40:00,17:40:00
9,806,534,9:40:00,16:50:00
9,3060,524,9:40:00,16:45:00
9,10,524,16:20:00,21:40:00
9,308,534,9:40:00,17:00:00
9,1699,602,9:40:00,17:40:00
9,10,602,16:15:00,21:35:00
9,10,602,0:30:00,5:50:00
9,49,602,0:30:00,6:30:00
