id,name,city,province,latitud,longitud
10,Dellepiane - Retiro,Ciudad de Buenos Aires,Capital Federal,"-345.867.075,00","-583.743.954,00"
19,Terminal de Cordoba,Cordoba ,Córdoba,"-314.234.356,00","-641.744.256,00"
315,Terminal de Mendoza,Mendoza,Mendoza,"-328.942.906,00","-688.299.358,00"
442,Terminal de San Rafael,San Rafael,Mendoza,"163.700.359,00","-22.900.239,00"
9,Terminal de Omnibus de Mar del Plata,Mar del Plata,Buenos Aires,"-379.895.834,00","-575.617.196,00"
7,Terminal de La Plata,La Plata,Buenos Aires,"-34.905.308,00","-579.555.148,00"
409,San Juan,San Juan,San Juan,"-315.389.319,00","-685.116.005,00"
334,San Luis,San Luis,San Luis,"-332.932.632,00","-663.393.089,00"
46,Terminal de Omnibus de Rosario,Rosario,Santa Fe,"-329.394.686,00","-606.707.183,00"
556,Bahia Blanca,Bahia Blanca,Buenos Aires,"-387.357.765,00","-622.464.779,00"
26,Terminal de Rio Cuarto,Rio Cuarto,Córdoba,"-331.140.911,00","-643.518.162,00"
369,Terminal de Corrientes,Corrientes,Corrientes,"-274.993.356,00","-588.144.124,00"
17,San Miguel de Tucuman,San Miguel de Tucuman,Tucumán,"-267.378.495.117.042,00","-6.504.566.073.417.660,00"
1471,Posadas,Posadas,Misiones,"-274.029.374,00","-559.150.457,00"
350,Terminal de Resistencia,Resistencia,Chaco,"-27.456.769,00","-590.231.466,00"
15,Santiago del Estero,Santiago del Estero,Santiago del Estero,"-277.788.447,00","-642.630.404,00"
325,Santa Fe,Santa Fe,Santa Fe,"-316.432.651,00","-60.700.635,00"
469,Terminal de Villa Mercedes,Villa Mercedes,San Luis,"-336.652.823,00","-654.660.702,00"
232,Terminal de Pinamar,Pinamar,Buenos Aires,"-371.077.907,00","-568.801.636,00"
290,Villa Maria,Villa Maria,Córdoba,"-324.147.907,00","-632.331.325,00"
506,Terminal de San Francisco,San Francisco,Córdoba,"-31.429.601.847.123.400,00","-6.209.160.303.001.630,00"
4763,El Talar,Pacheco,Buenos Aires,"-344.717.304,00","-586.558.945,00"
713,Terminal de Viedma,Viedma,Rio Negro,"-408.207.596,00","-630.055.726,00"
1070,Malargue,Malargue,Mendoza,"-3.547.527.525.340.150,00","-6.958.918.376.573.710,00"
276,Villa Gesell,Villa Gesell ,Buenos Aires,"-372.861.921,00","-569.940.126,00"
654,Chajari,Chajari,Entre Rios,"-307.563.396,00","-579.881.358,00"
562,Terminal de San Carlos de Bariloche,San Carlos de Bariloche,Rio Negro,"-411.305.386,00","-712.718.665,00"
521,Terminal de Neuquen,Neuquen,Neuquén,"-389.591.418,00","-681.058.466,00"
224,Necochea,Necochea,Buenos Aires,"-385.538.998,00","-587.387.426,00"
924,Villa General Belgrano,Villa General Belgrano,Córdoba,"-31.973.865.080.215.000,00","-6.456.200.312.747.800,00"
323,San Salvador de Jujuy,San Salvador de Jujuy,Jujuy,"-242.214.593,00","-652.719.641,00"
443,General Alvear,General Alvear,Mendoza,"-349.783.652,00","-676.943.774,00"
507,Parana,Parana,Entre Rios,"-31.739.815,00","-605.175.287,00"
545,Santa Rosa,Santa Rosa,La Pampa,"-366.199.194,00","-642.807.162,00"
255,Terminal de Santa Teresita,Santa Teresita,Buenos Aires,"-365.358.037,00","-56.713.711,00"
14,Terminal de Omnibus de Rafaela,Rafaela,Santa Fe,"-312.402.657,00","-615.063.464,00"
31,Terminal de Villa Carlos Paz,Villa Carlos Paz,Córdoba,"-31.419.192,00","-644.932.812,00"
3702,El Chalten,El Chalten,Santa Cruz,"-4.933.331,00","-72.883.383,00"
583,Comodoro Rivadavia,Comodoro Rivadavia,Chubut,"-458.607.797,00","-674.782.698,00"
2728,Terminal Calafate,El Calafate,Santa Cruz,"-503.374.028,00","-722.457.517,00"
518,Tandil,Tandil,Buenos Aires,"-373.209.139,00","-591.187.241,00"
649,Gualeguay,Gualeguay,Entre Rios,"-331.330.921,00","-593.157.407,00"
3429,Gualeguaychu,Gualeguaychu,Entre Rios,"-330.232.196,00","-58.537.066,00"
922,Santa Rosa de Calamuchita,Santa Rosa de Calamuchita,Córdoba,"-320.741.183,00","-64.532.537,00"
617,Tres Arroyos,Tres Arroyos,Buenos Aires,"-383.689.195,00","-602.860.218,00"
621,Rio Gallegos,Rio Gallegos,Santa Cruz,"-516.252.504,00","-692.530.489,00"
787,General Pico,General Pico,La Pampa,"-3.567.032.982.800.630,00","-6.374.213.517.778.350,00"
484,Junin,Junin,Buenos Aires,"-34.589.071,00","-60.949.166,00"
249,San Clemente del Tuyú,San Clemente del Tuyú,Buenos Aires,"-363.845.049,00","-567.280.179,00"
144,Brandsen,Brandsen,Buenos Aires,"-351.639.217,00","-58.234.608,00"
246,San Bernardo,San Bernardo,Buenos Aires,"-366.867.425,00","-56.688.401,00"
403,Cipolletti,Cipolletti,Rio Negro,"-389.420.289,00","-680.082.142,00"
208,Terminal de Mar de Ajo,Mar de Ajo,Buenos Aires,"-367.332.782,00","-56.694.831,00"
644,Azul,Azul,Buenos Aires,"367.842.163,00","-598.525.483,00"
49,Dellepiane - Liniers (Límite con Ciudadela),Ciudad de Buenos Aires,Capital Federal,"-346.425.207,00","-585.288.745,00"
