1;Rosa;Rojo;Descripcion soon™
2;Girasol;Amarillo;Descripcion soon™
3;Dondiego de noche;Fucsia/Magenta/Amarillo;Descripcion soon™
4;Hortensia;Variado;Descripcion soon™
5;Petunia;Rosa/Rojo/Variado;Descripcion soon™
6;Gladiolo;Variado;Descripcion soon™
7;Nomeolvides;Azul claro;Descripcion soon™
8;Cactus de navidad;Rojo/Fucsia/Blanco;Descripcion soon™
9;Ave del paraiso;Naranja/Azul;Descripcion soon™
10;Jacinto;Variado;Descripcion soon™
11;Aguileña;Rosa/Violeta/Variado;Descripcion soon™
12;Boca de dragon;Blanco/Variado;Descripcion soon™
